CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
6025010101,California,Imperial,0,4601,219,1,4164,0.9050207,0,0,0,0,0,1,6.3,37333,0,0,0,0,0,0,0,0,106.4804144,106.4804144,0.0,13.45015764,13.45015764,0.0,4600.999753,0.999999946,581.1789026,0.12631578,70.00000019,0.015214084,132.9999981,0.028906759,2228.999875,0.484459873,1520.99992,0.330580291,72.99999619,0.015866115,19.99999949,0.004346881,42.99999764,0.009345794,714.9999526,0.155400989,2075.999855,0.451206228,48.66666723,0.222222225,68.94444464,0.314814816,4590.162009,0.997644427,579.8099243,0.12601824,67.10119143,0.014584045,132.3330659,0.028761805,2227.472631,0.484127935,1517.99992,0.329928259,72.77768546,0.015817797,19.99999949,0.004346881,42.99999764,0.009345794,708.9117638,0.154077758,2069.757616,0.449849515,47.8131521,0.218324895,67.73529817,0.309293599,106.4804144,0.023142885,13.45015764,0.002923312,16.78106508,0.003647265,26.87457107,0.005841028,85.61843855,0.018608659,0.955058602,0.000207576,7.360499615,0.001599761,0.0,0.0,0.0,0.0,12.54641684,0.002726889,53.45211381,0.011617499,11.04259079,0.050422789,15.64367001,0.071432283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,70,133,2229,1521,73,20,43,715,2076,12,17
6025010102,California,Imperial,1,5007,1527,0,0,0.0,1,1,1,1,1,1,30.0,30703,1,1,1,1,1,0,0,1,1411.817128,2583.128393,1411.817128,889.6381903,1685.237003,889.6381903,2583.128393,0.515903414,1685.237003,0.336576194,828.5734393,0.165483012,297.6366306,0.059444104,1167.992128,0.233271845,100.1486761,0.020001733,57.53643166,0.011491199,3.088394307,0.000616815,36.14101935,0.007218099,1218.22174,0.243303723,1904.687029,0.380404839,128.0962913,0.083887552,174.5680893,0.114320949,1411.817128,0.281968669,889.6381903,0.177678888,361.5461326,0.072208135,216.5146963,0.0432424,763.6203308,0.152510551,54.30782627,0.01084638,48.11915233,0.009610376,1.000000022,0.00019972,25.9999999,0.00519273,518.7698241,0.103608912,893.4965354,0.178449478,84.73152705,0.055488885,106.9223806,0.070021205,11.06388834,0.002209684,6.971765193,0.001392404,3.776957572,0.000754335,0.559383443,0.00011172,0.677254989,0.000135262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.38663335,0.002074422,9.560265545,0.00190938,0.754029012,0.000493798,0.951506231,0.000623121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493,1622,546,2088,158,86,15,68,2592,3944,250,458
6025010200,California,Imperial,0,2640,753,0,0,0.0,0,0,0,0,0,1,35.0,34038,0,0,0,0,0,0,0,0,8.040304082,8.040304082,0.0,4.143521691,4.143521691,0.0,422.4369626,0.160014001,256.2207883,0.097053329,115.746118,0.043843227,47.97419986,0.018172045,234.9969232,0.089013986,6.246464193,0.002366085,6.999999843,0.002651515,0.0,0.0,5.374226562,0.002035692,168.8193527,0.063946725,297.1675295,0.112563458,12.04391875,0.01599458,32.10204058,0.042632192,245.4211456,0.092962555,126.4762932,0.047907687,61.36519557,0.023244392,29.13353179,0.011035429,140.6380357,0.053271983,5.999999762,0.002272727,6.999999843,0.002651515,0.0,0.0,3.999999996,0.001515152,87.78311024,0.033251178,157.8532465,0.059792896,7.672874316,0.01018974,19.49758807,0.025893211,8.040304082,0.00304557,4.143521691,0.001569516,0.334861387,0.000126841,1.162004287,0.000440153,5.475160101,0.002073924,0.0,0.0,2.481428647,0.000939935,0.0,0.0,0.0,0.0,0.083715347,3.17104e-05,3.318582124,0.001257039,0.306743604,0.000407362,0.779468078,0.00103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416,880,307,1276,27,18,0,57,1262,2213,62,170
6025010300,California,Imperial,0,933,311,0,0,0.0,0,0,0,0,0,0,14.4,66484,0,0,0,0,0,0,0,0,57.68582989,57.68582989,0.0,19.99013926,19.99013926,0.0,928.5795224,0.995262082,321.7849826,0.3448928,198.4952153,0.212749427,144.2324052,0.154589931,591.1907835,0.633644998,2.874204238,0.003080605,11.99999982,0.012861736,3.999999976,0.004287245,7.999999997,0.008574491,310.5145343,0.332813006,514.1403511,0.55106147,0.0,0.0,28.24452301,0.090818402,889.0252053,0.952867315,308.078041,0.330201545,193.5562445,0.207455782,136.7976917,0.14662132,571.9612763,0.613034594,1.84885983,0.001981629,11.99999982,0.012861736,3.999999976,0.004287245,7.999999997,0.008574491,291.2150687,0.312127619,491.6753725,0.52698325,0.0,0.0,27.06718253,0.087032741,57.68582989,0.061828328,19.99013926,0.021425658,10.33804479,0.011080434,7.504752288,0.008043679,36.98307437,0.039638879,0.0,0.0,0.0,0.0,3.746924406,0.004015996,0.0,0.0,16.95583111,0.018173452,30.70354167,0.032908405,0.0,0.0,2.050788638,0.006594176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,199,145,593,3,12,4,8,313,517,0,26
6025010400,California,Imperial,1,7162,1997,0,6,0.0008378,1,1,1,1,1,1,36.4,30373,1,1,1,1,1,0,0,1,1200.150473,5648.628561,1200.150473,982.8634108,3996.701937,982.8634108,5648.628561,0.788694298,3996.701937,0.558042717,2098.265013,0.292971937,489.9365923,0.06840779,2649.64315,0.369958552,94.90552913,0.013251261,19.82991635,0.002768768,2.0,0.000279252,36.85802076,0.005146331,2845.391995,0.397290142,5387.645955,0.752254392,180.779884,0.090525731,640.2961283,0.320629008,1200.150473,0.167571973,982.8634108,0.137233093,476.3553843,0.066511503,97.87322541,0.013665628,644.7320001,0.090021223,11.09684414,0.001549406,4.161931302,0.000581113,0.0,0.0,7.071445897,0.000987356,533.0882448,0.074432874,1133.231751,0.158228393,20.66148238,0.010346261,142.5970988,0.071405658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5308,2564,641,3302,134,33,3,44,3646,6741,328,840
6025010500,California,Imperial,1,6593,2042,0,36,0.0054603,0,1,0,0,0,1,17.0,52116,0,1,0,1,0,0,0,0,314.135674,3283.893902,314.135674,110.1509965,907.8059428,110.1509965,3283.893902,0.498087957,907.8059428,0.137692392,1139.033879,0.172764125,194.2242207,0.029459157,1995.449711,0.30266187,84.24312667,0.012777662,90.60303095,0.013742307,0.0,0.0,43.10725273,0.006538337,1070.490797,0.162367784,2382.992007,0.361442743,81.71300344,0.040016162,115.0761731,0.056354639,314.135674,0.047646849,110.1509965,0.016707265,127.8696692,0.019394763,9.364131983,0.001420314,163.3749514,0.024780062,8.82948029,0.00133922,4.886592228,0.000741179,0.0,0.0,2.290518835,0.000347417,134.754129,0.02043897,253.0775638,0.038385798,9.546046018,0.004674851,9.86807515,0.004832554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370,2157,537,3913,140,114,7,76,2343,5058,202,254
6025010600,California,Imperial,1,6998,2314,0,124,0.0177193,0,0,0,0,0,0,8.4,76979,0,1,0,1,0,0,0,0,228.3951578,2505.855855,228.3951578,34.4123089,535.4210937,34.4123089,2505.855855,0.358081717,535.4210937,0.076510588,801.1207768,0.114478533,186.4367686,0.026641436,1564.92821,0.223625066,27.58794677,0.003942262,54.32592184,0.007763064,0.803281095,0.000114787,32.84955085,0.004694134,825.3609353,0.117942403,1691.628544,0.241730286,59.26525003,0.025611603,32.87255092,0.014205942,228.3951578,0.032637205,34.4123089,0.004917449,70.77769613,0.010113989,15.38338319,0.002198254,123.1904085,0.017603659,1.346549898,0.000192419,3.299695879,0.00047152,0.0,0.0,3.37200284,0.000481852,97.1865027,0.013887754,173.132258,0.024740248,6.166826054,0.002665007,2.960092549,0.00127921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678,2100,804,4280,134,184,13,78,2309,4570,116,92
6025010700,California,Imperial,1,4322,1299,0,8,0.001851,1,1,1,0,0,1,34.1,31124,1,1,1,1,1,0,0,0,1470.793046,3759.050061,1470.793046,1089.727995,2347.155344,1089.727995,3759.050061,0.869747816,2347.155344,0.543071574,1218.029131,0.281820715,438.8141238,0.101530339,1888.89279,0.437041367,101.0167823,0.023372694,19.25232585,0.004454495,8.999999821,0.002082369,37.87174608,0.008762551,1703.016398,0.394034335,3521.274881,0.814732735,61.46878759,0.047320083,324.7739461,0.250018434,1470.793046,0.340303805,1089.727995,0.252135121,512.2208304,0.118514769,137.5323178,0.031821453,823.3827589,0.190509662,30.93609827,0.00715782,6.3573875,0.001470936,7.670209348,0.00177469,14.16671438,0.003277815,588.2798715,0.136112881,1373.428262,0.31777609,23.87463455,0.018379241,130.1036235,0.100156754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860,1365,530,2147,102,21,9,43,2000,4067,63,356
6025010800,California,Imperial,0,1368,465,0,0,0.0,0,0,0,0,0,0,3.8,73333,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1364.404124,0.997371436,287.1185978,0.209882016,329.662412,0.240981295,172.9994117,0.126461558,1053.330862,0.7699787,2.999999973,0.002192982,26.00000046,0.019005848,1.000000003,0.000730994,10.99999988,0.008040936,270.0732652,0.197421977,717.8421797,0.524738435,0.0,0.0,31.62757817,0.068016297,1279.533451,0.93533147,268.0298386,0.195928245,308.5180878,0.225524918,163.5743521,0.119571895,985.6435028,0.720499637,2.73377845,0.001998376,25.96584936,0.018980884,1.000000003,0.000730994,10.99999988,0.008040936,253.1903245,0.185080647,664.9961831,0.486108321,0.0,0.0,29.79162765,0.064068016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,331,173,1056,3,26,1,11,271,720,0,27
6025010900,California,Imperial,1,6755,2049,0,15,0.0022206,0,1,0,0,0,1,32.0,36782,0,1,0,1,0,0,0,0,124.2654459,2053.767482,124.2654459,73.26961758,1321.574121,73.26961758,2053.767482,0.304036637,1321.574121,0.195643837,652.2300909,0.096555158,186.627862,0.027628107,1244.662837,0.184258007,4.870750326,0.000721059,22.3661398,0.00331105,1.497204159,0.000221644,12.99999992,0.0019245,767.3705334,0.113600375,1699.125085,0.251535912,28.75579158,0.014034061,114.0281085,0.055650614,124.2654459,0.018396069,73.26961758,0.010846724,31.9063694,0.004723371,18.31400409,0.002711178,82.25585794,0.012177033,0.0,0.0,4.20511603,0.000622519,0.0,0.0,2.000000021,0.000296077,35.80447242,0.00530044,92.7890375,0.013736349,4.491880591,0.002192231,7.808816925,0.003811038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3771,2076,836,4221,39,65,7,48,2375,5468,141,368
